Epoch;Status;Reason;AvgHdgErr;MaxSpd;MaxAlt;Epsilon
119;[FAILED];Runway Excursion (14.0m);1.49;110.1;9;0.5389
120;[FAILED];Stagnation (No speed increase);0.49;202.1;9;0.5217
121;[FAILED];Runway Excursion (12.0m);0.30;189.0;9;0.5045
122;[FAILED];Runway Excursion (12.0m);1.04;127.5;9;0.4942
123;[FAILED];Runway Excursion (12.1m);1.00;128.4;9;0.4835
124;[FAILED];Runway Excursion (12.3m);1.94;160.7;9;0.4703
125;[FAILED];Runway Excursion (12.0m);1.14;117.0;9;0.4611
126;[FAILED];Runway Excursion (12.1m);1.01;129.5;9;0.4515
127;[FAILED];Timeout;3.57;120.9;1524;0.4331
128;[FAILED];Timeout;3.36;132.5;1496;0.4155
129;[FAILED];Runway Excursion (12.2m);0.54;181.7;9;0.6177
130;[FAILED];Stagnation (No speed increase);3.13;157.8;9;0.4049
131;[FAILED];Stagnation (No speed increase);0.50;202.4;10;0.3775
132;[FAILED];Runway Excursion (12.1m);2.42;64.5;9;0.3682
133;[FAILED];Runway Excursion (12.1m);1.06;129.5;9;0.3527
134;[FAILED];Runway Excursion (12.3m);1.82;68.6;9;0.3439
135;[FAILED];Runway Excursion (12.0m);1.39;97.9;9;0.3328
136;[FAILED];Runway Excursion (12.0m);0.88;147.9;10;0.3170
137;[FAILED];Runway Excursion (12.1m);0.63;131.4;9;0.3040
138;[FAILED];Runway Excursion (12.0m);0.47;141.4;9;0.2905
139;[FAILED];Stagnation (No speed increase);0.58;46.6;9;0.2842
140;[FAILED];Stagnation (No speed increase);1.57;201.9;9;0.2662
141;[FAILED];Runway Excursion (12.1m);0.87;132.9;9;0.2550
142;[FAILED];Runway Excursion (12.0m);0.82;111.8;9;0.2459
143;[FAILED];Runway Excursion (12.1m);0.69;149.6;9;0.2344
144;[FAILED];Runway Excursion (12.2m);0.88;142.6;10;0.2239
145;[FAILED];Runway Excursion (12.1m);0.58;153.3;9;0.2132
146;[FAILED];Runway Excursion (12.1m);2.32;63.9;9;0.2081
147;[FAILED];Runway Excursion (12.0m);0.73;116.0;9;0.4342
148;[FAILED];Runway Excursion (12.0m);0.88;110.4;9;0.4185
149;[FAILED];Runway Excursion (12.0m);0.41;153.7;9;0.3976
150;[FAILED];Stagnation (No speed increase);6.00;0.0;9;0.3917
151;[FAILED];Course lost (Heading);12.01;114.2;1296;0.3647
152;[FAILED];Timeout;3.70;111.5;1502;0.3357
153;[FAILED];Timeout;3.27;112.5;1529;0.3092
154;[FAILED];Runway Excursion (10.1m);1.23;102.9;9;0.2990
